#separator:;
#html:true
#notetype:Basic
#deck:ENCAPS::Cifras
#tags column:3
#columns:Frente;Reverso;Tags
Bloqueo vacunal ante un caso de SARAMPIÓN: ¿cuántas manzanas alrededor de la vivienda recomienda la OMS como mínimo?;<b>25 manzanas</b> alrededor de la vivienda del caso (bloqueo vacunal).<br>Recall de cifra: distractores 10 / 12 / 15.;ENCAPS::Cifras cod::I-3 critico fuente::2026-II-Q5
Variables epidemiológicas para organizar y describir los datos (tríada descriptiva):;<b>Tiempo, lugar y persona</b> (TLP).<br>No confundir con endemia/epidemia/pandemia (escalas) ni con incidencia/prevalencia (medidas).;ENCAPS::Cifras cod::I-3 critico fuente::2026-II-Q7
Historia natural: gestante expuesta a rubéola, sin síntomas. ¿En qué periodo está y qué nivel de prevención corresponde?;Periodo <b>subclínico</b> (dentro del periodo <b>patogénico</b>) → prevención <b>secundaria</b> (detección precoz).<br>Prepatogénico = antes del contacto con el agente (prevención primaria).;ENCAPS::Cifras cod::I-3 critico fuente::2026-II-Q25 fuente::2025-1A-Q79
¿Cuándo se llena la ficha clínico-epidemiológica de un caso sospechoso de enfermedad de notificación (p. ej. febril con diarrea que llega de zona endémica)?;<b>Inmediatamente</b>, en la primera atención, sin esperar resultados de laboratorio ni segunda consulta.;ENCAPS::Cifras cod::I-3 critico fuente::2026-II-Q32
Notificación de un BROTE (p. ej. ETA tras una fiesta) al nivel inmediato superior: ¿en qué plazo?;<b>Inmediata</b> (dentro de las 24 h de identificado), sin esperar laboratorio ni consolidado semanal.<br>Todo brote es de notificación inmediata (Dir. Sanitaria 046-MINSA/DGE-V.01, RM 506-2012).;ENCAPS::Cifras cod::I-3 critico fuente::2025-1A-Q25
Periodicidad de notificación de un caso PROBABLE de loxoscelismo (directiva de zoonosis, animales ponzoñosos y epizootias):;<b>7 días</b> (notificación semanal), no inmediata.<br>Trampa: lo grave/epidémico es inmediato, el loxoscelismo probable va en el consolidado semanal.;ENCAPS::Cifras cod::I-3 critico fuente::2025-2-Q41
Tipo de vigilancia: el personal SALE a buscar, notificar y registrar casos en visitas domiciliarias (alerta de sarampión).;<b>Activa</b>: búsqueda intencionada y sistemática de casos, incluyendo a quienes NO acudieron al servicio.<br>Se clasifica por QUIÉN detecta y CÓMO llega el dato.;ENCAPS::Cifras cod::I-3 critico fuente::2026-II-Q97
Tipo de vigilancia: el sistema consolida y envía los casos que acuden al servicio (informes de rutina), sin búsqueda en la comunidad.;<b>Pasiva</b> (tradicional): se basa en los sistemas de declaración/notificación rutinaria. Subregistra.;ENCAPS::Cifras cod::I-3 critico fuente::2025-1A-Q22
Tipo de vigilancia: incremento inusual de diarreas mucosanguinolentas en <5 años en un SECTOR concreto (drenaje) de la jurisdicción.;<b>Centinela</b>: sitios/poblaciones seleccionados estratégicamente para detectar tendencias y eventos con detalle.;ENCAPS::Cifras cod::I-3 critico fuente::2026-II-Q41
Tipo de vigilancia cuando los AGENTES COMUNITARIOS (ACS) detectan y reportan los casos de su vecindario:;<b>Comunitaria</b>: detecta la propia comunidad organizada (ACS, promotores). No es sindrómica aunque reporten síndromes.;ENCAPS::Cifras cod::I-3 critico fuente::registro-I-3_SET2-28jul
Relación causal de la TB (M. tuberculosis presente en todos los casos, pero no todos los expuestos enferman):;Causa <b>necesaria pero NO suficiente</b>.<br>Necesaria y suficiente (rara) = virus de la rabia. No necesaria ni suficiente = factores de riesgo de crónicas.;ENCAPS::Cifras cod::I-3 critico fuente::2026-II-Q42 fuente::2025-1A-Q83
Criterios de Hill: ¿qué evalúan el riesgo relativo (RR) y el OR (riesgo relativo indirecto)?;<b>Fuerza de la asociación</b>.<br>Gradiente biológico = relación dosis-respuesta. Temporalidad = la causa precede al efecto.;ENCAPS::Cifras cod::I-3 critico fuente::2026-II-Q49 fuente::2024-2A-Q59
Riesgo relativo (RR) vs odds ratio (OR): ¿en qué diseño se usa cada uno?;<b>RR → cohortes</b> (riesgo en expuestos vs no expuestos).<br><b>OR → casos y controles</b> (probabilidad de exposición en casos vs controles).;ENCAPS::Cifras cod::I-3 critico fuente::compendio-Lopez-SP-2026-I
Sala situacional de dengue analizada con enfoque de EIS (evaluación de impacto en salud) junto al comité multisectorial: ¿cuál es el objetivo?;<b>Promover y garantizar políticas públicas saludables</b> (abogacía intersectorial), no solo ejecutar propuestas del MINSA.;ENCAPS::Cifras cod::I-3 critico fuente::2026-II-Q68
¿Quiénes deben conocer y analizar prioritariamente la sala situacional de salud?;<b>Todo el personal de salud y las autoridades locales</b> (decisión compartida), no solo epidemiología y jefatura.;ENCAPS::Cifras cod::I-3 critico fuente::2025-1A-Q74
Sala de situación instalada tras un terremoto: ¿cuál es su finalidad más importante?;<b>Permitir la toma de decisiones</b> en desastres (no solo informar ni actualizar daños).;ENCAPS::Cifras cod::I-3 critico fuente::2025-2-Q62
Riesgo en desastres producido por animales o plantas que desequilibran el proceso salud-enfermedad:;Riesgo <b>biológico</b> (vs ambiental, social, epidémico).;ENCAPS::Cifras cod::I-3 critico fuente::2026-II-Q34
Acción prioritaria de la intervención inicial DURANTE un desastre:;<b>Rescate de heridos</b> (antes que atención médica, agua o alimentos).;ENCAPS::Cifras cod::I-3 critico fuente::2025-2-Q46
Definición de DESASTRE (evento adverso severo que altera personas, economía, sistemas sociales y ambiente y…):;…<b>exige ayuda externa</b>. Emergencia = se resuelve con recursos locales. Catástrofe/cataclismo no son los términos de la norma.;ENCAPS::Cifras cod::I-3 critico fuente::2025-2-Q9
Incremento de FEBRILES y de ERUPTIVOS en piel en Chiclayo respecto a la semana previa y al año anterior: ¿qué priorizar en la vigilancia?;<b>Dengue y sarampión</b> (coyuntura 2026: brote regional de sarampión + dengue).;ENCAPS::Cifras cod::I-3 critico fuente::2026-II-Q65
Tasa de ATAQUE: definición y ejemplo (I.E. de 100 alumnos, brote de varicela con 50 casos).;Casos nuevos / expuestos en el brote = <b>50 %</b> (es una incidencia especial de brote, el examen la llamó “tasa de incidencia, 50 %”).;ENCAPS::Cifras cod::I-3 critico fuente::2025-1A-Q19 fuente::compendio-Lopez-SP
LETALIDAD vs MORTALIDAD: denominadores.;<b>Letalidad = muertes / ENFERMOS</b> (gravedad de la enfermedad).<br><b>Mortalidad = muertes / POBLACIÓN</b> (riesgo de morir).;ENCAPS::Cifras cod::I-3 critico fuente::compendio-Lopez-SP-2026-I
Incidencia mide la …… y prevalencia mide la …… de la enfermedad.;Incidencia = <b>velocidad</b> (casos nuevos). Prevalencia = <b>magnitud</b> (casos existentes).<br>Alta incidencia + baja prevalencia = enfermedad aguda corta (resfriado común).;ENCAPS::Cifras cod::I-3 critico fuente::2025-1A-Q34 fuente::2025-2-Q91
Primer caso de tos ferina CAPTADO por el servicio en una comunidad: ¿qué tipo de caso es?;Caso <b>índice</b> (primero detectado y reportado). No necesariamente el primario (primero infectado).;ENCAPS::Cifras cod::I-3 critico fuente::2024-2A-Q95
Enfermedad en fase de ELIMINACIÓN (sarampión, polio): ¿cuántos casos constituyen brote?;<b>UN solo caso</b> ya es brote (Dir. Adm. 341-MINSA/CDC-2023, 5.1.a) y dispara bloqueo vacunal + búsqueda activa.;ENCAPS::Cifras cod::I-3 critico fuente::Dir-341-2023-5.1.a
Primera etapa de la investigación epidemiológica de un brote:;<b>Investigación preliminar</b> (verificar diagnóstico y confirmar el brote) → luego búsqueda de casos → control → informe.;ENCAPS::Cifras cod::I-3 critico fuente::2025-2-Q22
Número reproductivo básico (Ro) esperado en un brote (fiebre amarilla):;<b>Ro > 1</b> (cada caso genera más de un caso nuevo). Ro < 1 = el brote se extingue.;ENCAPS::Cifras cod::I-3 critico fuente::2025-1A-Q81
Modalidad de notificación: ¿qué eventos se notifican CONSOLIDADOS (no individuales)?;Solo <b>EDAS, IRAS/neumonías/SOB-asma e IIH</b> (IIH: consolidada y MENSUAL). Casi todo lo demás es INDIVIDUAL (Dir. 046, Anexo 01).;ENCAPS::Cifras cod::I-3 critico fuente::Dir-046-Anexo-01
EVISAP vs ESAVI (siglas que NO son lo mismo):;<b>EVISAP</b> = Evento de Importancia para la Salud Pública (Dir. 047 / 341-2023).<br><b>ESAVI</b> = Evento Severo Supuestamente Atribuido a Vacunación/Inmunización (Dir. 046 Anexo 01 N.39, T88.1, notificación INMEDIATA).;ENCAPS::Cifras cod::I-3 critico fuente::PROTOCOLO-§6
Índice aédico 3 % + casos autóctonos de dengue en junio-julio: ¿qué control entomológico corresponde?;<b>Control larvario químico con pyriproxyfen al 100 % de las viviendas</b> (no nebulización al 40 % ni adulticida al 50 %).;ENCAPS::Cifras cod::I-4 critico fuente::2026-II-Q6
Escenarios epidemiológicos del dengue (I / II / III):;<b>I</b> = sin vector. <b>II</b> = vector + casos IMPORTADOS, sin autóctonos. <b>III</b> = vector + casos AUTÓCTONOS (III-brote: limitado en tiempo/lugar, III-endémico: transmisión sostenida).;ENCAPS::Cifras cod::I-4 critico fuente::2026-II-Q51 fuente::2024-2A-Q31
Fallecido con probable dengue: ¿antes de cuántas horas debe obtenerse la muestra de hígado, bazo y ganglios?;Antes de las <b>24 horas</b> del fallecimiento.;ENCAPS::Cifras cod::I-4 critico fuente::2026-II-Q91
Dengue grupo B2 en la UVICLIN: volumen inicial de solución salina 0,9 %.;<b>10 ml/kg en 1 hora</b> y reevaluar. (20 ml/kg = carga del choque, grupo C).;ENCAPS::Cifras cod::I-4 critico fuente::2024-2A-Q90
Gestante con dengue sin signos de alarma: ¿a qué grupo de manejo pertenece?;Grupo <b>B1</b> (condición asociada/riesgo social: gestante, <1 año, adulto mayor, comorbilidad) → observación/manejo supervisado.;ENCAPS::Cifras cod::I-4 critico fuente::2024-2A-Q75
Dengue: fiebre + dolor abdominal + plaquetas 80.000 sin choque = ¿clasificación?;<b>Dengue con signos de alarma</b>. Grave = choque, distrés respiratorio, sangrado grave o daño de órgano (PA 70/50, SatO2 89 %).;ENCAPS::Cifras cod::I-4 critico fuente::2024-2A-Q40 fuente::2024-2A-Q83
Actividad de vigilancia entomológica cuando NO hay vector ni casos pero sí condiciones para la infestación:;Vigilancia <b>semanal en un punto crítico con ovitrampas</b>.;ENCAPS::Cifras cod::I-4 critico fuente::2025-2-Q23
Aedes aegypti hembra: ¿cuándo pica preferentemente?;<b>Al amanecer y al atardecer</b>, transmite durante toda su vida.;ENCAPS::Cifras cod::I-4 critico fuente::2025-1A-Q54
Mordedura superficial de perro en antebrazo, lavada 10 min con agua y jabón: clasificación de la exposición a rabia.;Exposición <b>LEVE</b> (superficial, en extremidad). Grave = cabeza/cuello/manos, múltiples, profundas o por animal silvestre/desconocido.;ENCAPS::Cifras cod::I-4 critico fuente::2026-II-Q14
Mascarilla N95 + alcohol gel + guantes desechables + EPP según grupo de exposición: recomendaciones para contactos con riesgo de…;<b>Influenza A (H1N1)</b> (precauciones por gotas/aéreas).;ENCAPS::Cifras cod::I-4 critico fuente::2026-II-Q20
Malaria en Loreto con fiebre, ictericia y orina rojiza: especie más frecuente en la zona.;<b>P. falciparum</b> (formas graves). P. vivax es la más frecuente a nivel nacional pero la viñeta grave en Loreto apunta a falciparum.;ENCAPS::Cifras cod::I-4 critico fuente::2025-2-Q48
Dos casos de PESTE hospitalizados sin saber si hay más en la comunidad: medida INICIAL.;<b>Medidas de bioseguridad e identificar las casas de los infectados</b> (antes que control de roedores o de pulgas).;ENCAPS::Cifras cod::I-4 critico fuente::2025-1A-Q93
Primer caso de leishmaniasis en zona de sierra sin reporte de Lutzomyia: ¿qué recomienda para el control vectorial?;<b>Identificar la presencia del vector</b> en los sitios probables de infección (investigación de foco) antes de cualquier control químico.;ENCAPS::Cifras cod::I-4 critico fuente::2025-2-Q66
Intervalo MÍNIMO entre dos vacunas vivas atenuadas inyectables no aplicadas el mismo día (SPR → varicela):;<b>1 mes</b> (4 semanas).;ENCAPS::Cifras cod::II-3 critico fuente::2026-II-Q4
Kit de ESAVI: dosis de epinefrina 1:1000 intramuscular.;<b>0,01 mg/kg</b> IM (máx. 0,5 mg). El kit lleva epinefrina, hidrocortisona y clorfenamina.;ENCAPS::Cifras cod::II-3 critico fuente::2026-II-Q23
Gestante de 32 semanas no controlada, captada en extramuros: PRIMERA vacuna a indicar.;<b>Virus respiratorio sincitial (VRS)</b>: se aplica entre las <b>32 y 36 semanas</b> de gestación.;ENCAPS::Cifras cod::II-3 critico fuente::2026-II-Q22
Vacuna para inmunización pasiva del recién nacido contra TOS FERINA en la gestante (29 semanas, primer control):;<b>Tdap</b>: 1 dosis en cada gestación, entre las <b>20 y 36 semanas</b>.;ENCAPS::Cifras cod::II-3 critico fuente::2026-II-Q79 fuente::compendio-Lopez-CI
Niña de 4 años con fiebre 39 °C, dolor, tumefacción y enrojecimiento en el hombro al día siguiente de la DPT: tipo de ESAVI.;Evento <b>relacionado con la vacuna</b> (reacción propia del producto).<br>Coincidente = otra etiología lo explica. Error programático = fallo de técnica. No concluyente = sin relación establecida.;ENCAPS::Cifras cod::II-3 critico fuente::2026-II-Q33 fuente::2024-2A-Q98
ESAVI SEVERO: criterios (uno o más).;<b>Hospitalización, riesgo de muerte, discapacidad o fallecimiento</b>. Notificación INMEDIATA e investigación (Dir. 054-MINSA/DGE).;ENCAPS::Cifras cod::II-3 critico fuente::2024-2A-Q92 fuente::compendio-Lopez-CI
Lactante de 6 meses con esquema AL DÍA: ¿qué vacuna le corresponde en la cita?;<b>2.ª dosis de influenza</b> (no la 1.ª). SPR y antiamarílica son a los 12 meses. Hecho del gate §3-bis (la guía lo tenía mal).;ENCAPS::Cifras cod::II-3 critico fuente::2025-2-Q97
Escolar de 4 años: vacunas que previenen la tos ferina que debe tener.;<b>Pentavalente 3 dosis + DPT 2 dosis</b> (refuerzos a los 18 meses y 4 años).;ENCAPS::Cifras cod::II-3 critico fuente::2025-2-Q86
Cadena de frío: rango de conservación de vacunas y temperatura media ideal.;Conservación <b>+2 °C a +8 °C</b>, media ideal +4 a +6 °C, oscilación +3 a +7 °C.<br>Las vacunas adsorbidas (DPT, pentavalente, HvB, Tdap, IPV, neumococo) se dañan con la CONGELACIÓN (test de agitación).;ENCAPS::Cifras cod::II-3 critico fuente::compendio-Lopez-CI fuente::Theomed-CI
Personal de salud que NO puede acreditar vacunación previa contra hepatitis B: conducta.;<b>Vacunar desde la primera dosis</b> (esquema completo), no una dosis de refuerzo.;ENCAPS::Cifras cod::II-3 critico fuente::2025-1A-Q45
Sensores del control termostático de la refrigeradora de farmacia/vacunas: requisito clave.;<b>Deben estar calibrados</b>.;ENCAPS::Cifras cod::II-3 critico fuente::2025-1A-Q47
Suplementación PREVENTIVA en adolescentes y mujeres en edad fértil (Hb ≥ 12 g/dL): dosis, frecuencia, duración.;<b>60 mg hierro elemental + 400 µg ácido fólico</b>, <b>2 veces por semana</b>, <b>3 meses</b> cada año.;ENCAPS::Cifras cod::II-4 critico fuente::2026-II-Q52 fuente::compendio-Lopez-CI
Escolar de 5-11 años con Hb 11,5-11,9 g/dL en tamizaje: indicación de hierro elemental.;<b>60 mg diarios (jarabe o tableta) por 3 meses</b>.;ENCAPS::Cifras cod::II-4 critico fuente::2026-II-Q78
Gestante con ANEMIA ferropénica: dosis diaria oral de tratamiento (hierro + ácido fólico).;<b>120 mg de hierro elemental + 800 µg de ácido fólico</b> al día (el doble de la preventiva 60 + 400).;ENCAPS::Cifras cod::II-4 critico fuente::2025-1A-Q66 fuente::Theomed-CI
Gestante SIN anemia: suplementación preventiva (desde qué semana, dosis, hasta cuándo).;Desde la <b>semana 14</b>: <b>60 mg Fe + 400 µg AF</b> diarios hasta el parto (Theomed: hasta 30 días post parto). Si inicia DESPUÉS de la semana 32: 120 mg + 800 µg.;ENCAPS::Cifras cod::II-4 critico fuente::compendio-Lopez-CI fuente::Theomed-CI
Lactante de 6 meses, 8 kg, Hb 10,8 g/dL (norma de anemia 2024): dosis de suplementación indicada en mg.;<b>16 mg</b> (clave oficial 2024-2A Q8) = 2 mg/kg/día de hierro elemental.<br>Hierro terapéutico en niños con anemia: 3 mg/kg/día (Theomed CI).;ENCAPS::Cifras cod::II-4 critico fuente::2024-2A-Q8 fuente::Theomed-CI
Plan multisectorial de lucha contra la anemia: la articulación de intervenciones entre salud, educación, vivienda, agricultura… es…;<b>intersectorial</b>.;ENCAPS::Cifras cod::II-4 critico fuente::2026-II-Q47
Consejería nutricional por curso de vida (OMS): las comidas deben hacerse en…;<b>familia</b> (comer en familia).;ENCAPS::Cifras cod::II-4 critico fuente::2026-II-Q73
Vitamina A en niños de zonas priorizadas: dosis por edad y frecuencia.;<b>6-11 meses: 100.000 UI</b> VO · <b>12-59 meses: 200.000 UI</b> VO · cada 6 meses.;ENCAPS::Cifras cod::II-4 critico fuente::Theomed-CI
Riesgo nutricional en niño de 3 años sin CRED: hallazgo que lo demuestra.;<b>Curva peso/talla plana</b> (no la mediana ni pérdida lenta).;ENCAPS::Cifras cod::II-4 critico fuente::2025-1A-Q75
Adolescente con TATUAJES extensos: ¿qué área de la salud integral está en riesgo?;<b>Psicosocial</b> (no sexual, ni nutricional, ni física).;ENCAPS::Cifras cod::II-5 critico fuente::2026-II-Q1
Actividad que fortalece los FACTORES PROTECTORES del adolescente en la atención integral:;<b>Consejería</b> (no Tanner, ni agudeza visual, ni evaluación postural).;ENCAPS::Cifras cod::II-5 critico fuente::2026-II-Q27
NTS del adolescente: el abordaje iniciado en la institución educativa debe CONTINUAR en…;<b>los establecimientos de salud</b>.;ENCAPS::Cifras cod::II-5 critico fuente::2026-II-Q96
El estado de salud de una jurisdicción se evalúa por el cumplimiento de …… sanitarios por curso de vida.;<b>indicadores</b> sanitarios (no paquetes ni objetivos).;ENCAPS::Cifras cod::II-5 critico fuente::2026-II-Q98
Que el adolescente alcance desarrollo físico, maduración mental, desarrollo emocional y social es objetivo de:;<b>Cuidado integral por curso de vida</b>.;ENCAPS::Cifras cod::II-5 critico fuente::2026-II-Q99
Paquete preventivo del adolescente: ¿cuántas mediciones de hemoglobina al año?;<b>2</b> mediciones al año.;ENCAPS::Cifras cod::II-5 critico fuente::2025-1A-Q14
Perímetro abdominal en adolescentes: valor que define riesgo ALTO cardiovascular/metabólico.;<b>Percentil ≥ 75 y < 90</b> (≥ 90 = muy alto).;ENCAPS::Cifras cod::II-5 critico fuente::2024-2A-Q5
Definición de CURSO DE VIDA (MCI):;Sucesión de eventos a lo largo de la existencia de las personas y la población, que interactúan e influyen en su salud <b>desde la preconcepción hasta la muerte</b>.;ENCAPS::Cifras cod::II-5 critico fuente::2025-1A-Q3
Herramienta de gestión de la RIS que asegura integralidad y longitudinalidad del cuidado en diferentes escenarios:;<b>Vías de cuidados integrales de salud</b>.;ENCAPS::Cifras cod::II-5 critico fuente::2024-2A-Q62
Consejería en lactancia materna: ¿desde qué semana de gestación?;Desde las <b>32 semanas</b>.;ENCAPS::Cifras cod::II-1 rebote fuente::2026-II-Q55
Periodicidad óptima de los controles prenatales:;<b>Mensual hasta la semana 32 · quincenal de 33 a 36 · semanal desde la 37</b> hasta el parto.;ENCAPS::Cifras cod::II-1 rebote fuente::compendio-Lopez-CI
Gestante ≥ 20 semanas con PA 170/110 + cefalea + visión borrosa + convulsión/alteración de conciencia:;<b>Eclampsia</b> → sulfato de magnesio IV y referencia. Sin convulsión = preeclampsia severa (2025-1A Q63: sulfato de magnesio).;ENCAPS::Cifras cod::II-1 rebote fuente::2025-2-Q79 fuente::2025-1A-Q63
