accion	origen	destino	razon
ARCHIVE	DATA/_scripts/remap_inicio_11jun.js	DATA/_scripts/_ARCHIVO_ANTIGUOS/remap_inicio_11jun.js	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/remap_inicio_15jun.js	DATA/_scripts/_ARCHIVO_ANTIGUOS/remap_inicio_15jun.js	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/remap_inicio_16jun.js	DATA/_scripts/_ARCHIVO_ANTIGUOS/remap_inicio_16jun.js	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/remap_inicio_17jun.js	DATA/_scripts/_ARCHIVO_ANTIGUOS/remap_inicio_17jun.js	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/remap_inicio_18jun.js	DATA/_scripts/_ARCHIVO_ANTIGUOS/remap_inicio_18jun.js	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/remap_inicio_19jun.js	DATA/_scripts/_ARCHIVO_ANTIGUOS/remap_inicio_19jun.js	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/remap_inicio_20jun.js	DATA/_scripts/_ARCHIVO_ANTIGUOS/remap_inicio_20jun.js	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/remap_inicio_23jun.js	DATA/_scripts/_ARCHIVO_ANTIGUOS/remap_inicio_23jun.js	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/remap_inicio_24jun.js	DATA/_scripts/_ARCHIVO_ANTIGUOS/remap_inicio_24jun.js	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/remap_inicio_25jun.js	DATA/_scripts/_ARCHIVO_ANTIGUOS/remap_inicio_25jun.js	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/remap_inicio_26jun.js	DATA/_scripts/_ARCHIVO_ANTIGUOS/remap_inicio_26jun.js	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/remap_inicio_29jun.js	DATA/_scripts/_ARCHIVO_ANTIGUOS/remap_inicio_29jun.js	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/remap_inicio_1jul.js	DATA/_scripts/_ARCHIVO_ANTIGUOS/remap_inicio_1jul.js	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/gen_encaps_remap_15jun.sql.js	DATA/_scripts/_ARCHIVO_ANTIGUOS/gen_encaps_remap_15jun.sql.js	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/gen_encaps_remap_16jun.sql.js	DATA/_scripts/_ARCHIVO_ANTIGUOS/gen_encaps_remap_16jun.sql.js	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/gen_encaps_remap_17jun.sql.js	DATA/_scripts/_ARCHIVO_ANTIGUOS/gen_encaps_remap_17jun.sql.js	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/gen_encaps_remap_18jun.sql.js	DATA/_scripts/_ARCHIVO_ANTIGUOS/gen_encaps_remap_18jun.sql.js	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/gen_encaps_remap_19jun.sql.js	DATA/_scripts/_ARCHIVO_ANTIGUOS/gen_encaps_remap_19jun.sql.js	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/gen_encaps_remap_20jun.sql.js	DATA/_scripts/_ARCHIVO_ANTIGUOS/gen_encaps_remap_20jun.sql.js	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/gen_encaps_remap_23jun.sql.js	DATA/_scripts/_ARCHIVO_ANTIGUOS/gen_encaps_remap_23jun.sql.js	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/gen_encaps_remap_24jun.sql.js	DATA/_scripts/_ARCHIVO_ANTIGUOS/gen_encaps_remap_24jun.sql.js	one-shot fechado superado (vigente: 2jul)
